event,ts,detail,downtime_s
inject,1788596300,scene_simulator(pids:327083),0
recovered,1788596363,scene_simulator,63
inject,1788598115,compute(pids:328941),0
recovered,1788598178,compute,63
inject,1788599939,scene_simulator(pids:328926),0
recovered,1788600002,scene_simulator,63
inject,1788601751,compute(pids:332470),0
recovered,1788601812,compute,61
inject,1788603557,scene_simulator(pids:332455),0
recovered,1788603620,scene_simulator,63
inject,1788605419,compute(pids:336002),0
recovered,1788605482,compute,63
inject,1788607225,scene_simulator(pids:335987),0
recovered,1788607287,scene_simulator,62
inject,1788609033,compute(pids:339597),0
recovered,1788609096,compute,63
inject,1788610844,scene_simulator(pids:339582),0
recovered,1788610905,scene_simulator,61
inject,1788612645,compute(pids:343161),0
recovered,1788612706,compute,61
inject,1788614453,scene_simulator(pids:343146),0
recovered,1788614517,scene_simulator,64
inject,1788616259,compute(pids:346693),0
recovered,1788616322,compute,63
inject,1788618072,scene_simulator(pids:346678),0
recovered,1788618134,scene_simulator,62
inject,1788619874,compute(pids:350222),0
recovered,1788619937,compute,63
inject,1788621680,scene_simulator(pids:350207),0
recovered,1788621741,scene_simulator,61
inject,1788623495,compute(pids:353755),0
recovered,1788623558,compute,63
inject,1788625353,scene_simulator(pids:353740),0
recovered,1788625416,scene_simulator,63
inject,1788627161,compute(pids:357343),0
recovered,1788627222,compute,61
inject,1788628973,scene_simulator(pids:357328),0
recovered,1788629034,scene_simulator,61
inject,1788630788,compute(pids:360873),0
recovered,1788630849,compute,61
inject,1788632603,scene_simulator(pids:360858),0
recovered,1788632666,scene_simulator,63
inject,1788634413,compute(pids:364405),0
recovered,1788634475,compute,62
inject,1788636227,scene_simulator(pids:364390),0
recovered,1788636290,scene_simulator,63
inject,1788638038,compute(pids:367937),0
recovered,1788638101,compute,63
inject,1788639856,scene_simulator(pids:367922),0
recovered,1788639918,scene_simulator,62
inject,1788641669,compute(pids:371467),0
recovered,1788641730,compute,61
inject,1788643476,scene_simulator(pids:371452),0
recovered,1788643539,scene_simulator,63
inject,1788645284,compute(pids:374999),0
recovered,1788645347,compute,63
inject,1788647144,scene_simulator(pids:374984),0
recovered,1788647207,scene_simulator,63
inject,1788648954,compute(pids:378594),0
recovered,1788649015,compute,61
inject,1788650756,scene_simulator(pids:378579),0
recovered,1788650819,scene_simulator,63
inject,1788652562,compute(pids:382125),0
recovered,1788652623,compute,61
inject,1788654368,scene_simulator(pids:382110),0
recovered,1788654431,scene_simulator,63
inject,1788656174,compute(pids:385656),0
recovered,1788656236,compute,62
inject,1788657988,scene_simulator(pids:385641),0
recovered,1788658051,scene_simulator,63
inject,1788659794,compute(pids:389186),0
recovered,1788659857,compute,63
inject,1788661603,scene_simulator(pids:389171),0
recovered,1788661666,scene_simulator,63
inject,1788663415,compute(pids:392718),0
recovered,1788663478,compute,63
inject,1788665230,scene_simulator(pids:392703),0
recovered,1788665291,scene_simulator,61
inject,1788667036,compute(pids:396257),0
recovered,1788667099,compute,63
inject,1788668842,scene_simulator(pids:396242),0
recovered,1788668903,scene_simulator,61
inject,1788670702,compute(pids:399788),0
recovered,1788670763,compute,61
inject,1788672511,scene_simulator(pids:399773),0
recovered,1788672574,scene_simulator,63
inject,1788674329,compute(pids:403377),0
recovered,1788674392,compute,63
inject,1788676141,scene_simulator(pids:403362),0
recovered,1788676204,scene_simulator,63
inject,1788677958,compute(pids:406907),0
recovered,1788678021,compute,63
inject,1788679782,scene_simulator(pids:406892),0
recovered,1788679845,scene_simulator,63
inject,1788681589,compute(pids:410436),0
recovered,1788681651,compute,62
inject,1788683406,scene_simulator(pids:410421),0
recovered,1788683469,scene_simulator,63
inject,1788685211,compute(pids:413973),0
recovered,1788685274,compute,63
inject,1788687023,scene_simulator(pids:413958),0
recovered,1788687086,scene_simulator,63
inject,1788688841,compute(pids:417505),0
recovered,1788688904,compute,63
inject,1788690662,scene_simulator(pids:417490),0
recovered,1788690725,scene_simulator,63
inject,1788692480,compute(pids:421036),0
recovered,1788692542,compute,62
inject,1788694287,scene_simulator(pids:421021),0
recovered,1788694349,scene_simulator,62
inject,1788696103,compute(pids:424567),0
recovered,1788696166,compute,63
inject,1788697912,scene_simulator(pids:424552),0
recovered,1788697975,scene_simulator,63
inject,1788699724,compute(pids:428096),0
recovered,1788699787,compute,63
inject,1788701533,scene_simulator(pids:428081),0
recovered,1788701593,scene_simulator,60
inject,1788703351,compute(pids:431628),0
recovered,1788703414,compute,63
inject,1788705163,scene_simulator(pids:431613),0
recovered,1788705226,scene_simulator,63
inject,1788706972,compute(pids:435159),0
recovered,1788707033,compute,61
inject,1788708775,scene_simulator(pids:435144),0
recovered,1788708838,scene_simulator,63
inject,1788710588,compute(pids:438692),0
recovered,1788710649,compute,61
inject,1788712404,scene_simulator(pids:438677),0
recovered,1788712467,scene_simulator,63
inject,1788714219,compute(pids:442224),0
recovered,1788714282,compute,63
inject,1788716025,scene_simulator(pids:442209),0
recovered,1788716088,scene_simulator,63
inject,1788717833,compute(pids:445753),0
recovered,1788717894,compute,61
inject,1788719634,scene_simulator(pids:445738),0
recovered,1788719695,scene_simulator,61
inject,1788721437,compute(pids:449284),0
recovered,1788721500,compute,63
inject,1788723241,scene_simulator(pids:449269),0
recovered,1788723303,scene_simulator,62
inject,1788725043,compute(pids:452818),0
recovered,1788725103,compute,60
inject,1788726847,scene_simulator(pids:452803),0
recovered,1788726909,scene_simulator,62
inject,1788728661,compute(pids:456350),0
recovered,1788728723,compute,62
inject,1788730467,scene_simulator(pids:456335),0
recovered,1788730529,scene_simulator,62
inject,1788732327,compute(pids:459883),0
recovered,1788732387,compute,60
inject,1788734132,scene_simulator(pids:459868),0
recovered,1788734195,scene_simulator,63
inject,1788735934,compute(pids:463477),0
recovered,1788735998,compute,64
inject,1788737749,scene_simulator(pids:463462),0
recovered,1788737812,scene_simulator,63
inject,1788739571,compute(pids:467011),0
recovered,1788739633,compute,62
inject,1788741382,scene_simulator(pids:466996),0
recovered,1788741445,scene_simulator,63
inject,1788743187,compute(pids:470612),0
recovered,1788743250,compute,63
inject,1788745009,scene_simulator(pids:470597),0
recovered,1788745069,scene_simulator,60
inject,1788746812,compute(pids:474143),0
recovered,1788746875,compute,63
inject,1788748615,scene_simulator(pids:474128),0
recovered,1788748678,scene_simulator,63
inject,1788750429,compute(pids:477675),0
recovered,1788750490,compute,61
inject,1788752236,scene_simulator(pids:477660),0
recovered,1788752298,scene_simulator,62
inject,1788754053,compute(pids:481205),0
recovered,1788754116,compute,63
inject,1788755862,scene_simulator(pids:481190),0
recovered,1788755925,scene_simulator,63
inject,1788757686,compute(pids:484736),0
recovered,1788757749,compute,63
inject,1788759501,scene_simulator(pids:484721),0
recovered,1788759561,scene_simulator,60
inject,1788761305,compute(pids:488267),0
recovered,1788761367,compute,62
inject,1788763111,scene_simulator(pids:488252),0
recovered,1788763172,scene_simulator,61
inject,1788764969,compute(pids:491798),0
recovered,1788765029,compute,60
inject,1788766769,scene_simulator(pids:491783),0
recovered,1788766831,scene_simulator,62
inject,1788768631,compute(pids:495387),0
recovered,1788768694,compute,63
inject,1788770443,scene_simulator(pids:495372),0
recovered,1788770506,scene_simulator,63
inject,1788772253,compute(pids:498982),0
recovered,1788772315,compute,62
inject,1788774067,scene_simulator(pids:498967),0
recovered,1788774130,scene_simulator,63
inject,1788775884,compute(pids:502510),0
recovered,1788775945,compute,61
inject,1788777694,scene_simulator(pids:502495),0
recovered,1788777757,scene_simulator,63
inject,1788779511,compute(pids:506041),0
recovered,1788779574,compute,63
inject,1788781320,scene_simulator(pids:506026),0
recovered,1788781383,scene_simulator,63
inject,1788783126,compute(pids:509572),0
recovered,1788783189,compute,63
inject,1788784938,scene_simulator(pids:509557),0
recovered,1788785001,scene_simulator,63
inject,1788786740,compute(pids:513103),0
recovered,1788786803,compute,63
inject,1788788543,scene_simulator(pids:513088),0
recovered,1788788606,scene_simulator,63
inject,1788790347,compute(pids:516634),0
recovered,1788790408,compute,61
inject,1788792153,scene_simulator(pids:516619),0
recovered,1788792215,scene_simulator,62
inject,1788793972,compute(pids:520165),0
recovered,1788794035,compute,63
inject,1788795790,scene_simulator(pids:520150),0
recovered,1788795853,scene_simulator,63
inject,1788797600,compute(pids:523696),0
recovered,1788797661,compute,61
inject,1788799408,scene_simulator(pids:523681),0
recovered,1788799469,scene_simulator,61
inject,1788801211,compute(pids:527227),0
recovered,1788801272,compute,61
inject,1788803018,scene_simulator(pids:527212),0
recovered,1788803080,scene_simulator,62
inject,1788804820,compute(pids:530758),0
recovered,1788804880,compute,60
inject,1788806629,scene_simulator(pids:530743),0
recovered,1788806690,scene_simulator,61
inject,1788808432,compute(pids:534289),0
recovered,1788808495,compute,63
inject,1788810257,scene_simulator(pids:534274),0
recovered,1788810320,scene_simulator,63
inject,1788812065,compute(pids:537818),0
recovered,1788812128,compute,63
inject,1788813874,scene_simulator(pids:537803),0
recovered,1788813937,scene_simulator,63
inject,1788815683,compute(pids:541349),0
recovered,1788815743,compute,60
inject,1788817495,scene_simulator(pids:541334),0
recovered,1788817556,scene_simulator,61
inject,1788819297,compute(pids:544880),0
recovered,1788819358,compute,61
inject,1788821156,scene_simulator(pids:544865),0
recovered,1788821217,scene_simulator,61
inject,1788822959,compute(pids:548475),0
recovered,1788823022,compute,63
inject,1788824774,scene_simulator(pids:548460),0
recovered,1788824835,scene_simulator,61
inject,1788826595,compute(pids:552007),0
recovered,1788826658,compute,63
inject,1788828401,scene_simulator(pids:551992),0
recovered,1788828465,scene_simulator,64
inject,1788830217,compute(pids:555549),0
recovered,1788830279,compute,62
inject,1788832031,scene_simulator(pids:555534),0
recovered,1788832094,scene_simulator,63
inject,1788833840,compute(pids:559079),0
recovered,1788833900,compute,60
inject,1788835652,scene_simulator(pids:559064),0
recovered,1788835715,scene_simulator,63
inject,1788837458,compute(pids:562606),0
recovered,1788837519,compute,61
inject,1788839265,scene_simulator(pids:562591),0
recovered,1788839327,scene_simulator,62
inject,1788841081,compute(pids:566137),0
recovered,1788841142,compute,61
inject,1788842887,scene_simulator(pids:566122),0
recovered,1788842951,scene_simulator,64
inject,1788844687,compute(pids:569668),0
recovered,1788844748,compute,61
inject,1788846502,scene_simulator(pids:569653),0
recovered,1788846565,scene_simulator,63
inject,1788848308,compute(pids:573200),0
recovered,1788848368,compute,60
inject,1788850114,scene_simulator(pids:573185),0
recovered,1788850177,scene_simulator,63
inject,1788851923,compute(pids:576730),0
recovered,1788851986,compute,63
